City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,pimentel,-6.8367,-79.9342,18.160000000000025,82,100,1.54,PE,1724769262
352,east ballina,-28.8667,153.5833,19.230000000000018,88,1,2.61,AU,1724769263
353,rada tilly,-45.9333,-67.5333,10.270000000000039,46,0,4.63,AR,1724769265
354,narasannapeta,18.4167,84.05,27.920000000000016,80,100,1.49,IN,1724769266
355,mili,6.0815,171.735,28.760000000000048,75,98,6.49,MH,1724769267
356,chunskiy,56.0815,99.6342,12.240000000000009,85,65,1.51,RU,1724769268
357,belyy yar,53.6039,91.3903,14.939999999999998,82,40,1.0,RU,1724769269
358,mega,4.05,38.3,20.75,54,85,7.28,ET,1724769270
359,utrik,11.2278,169.8474,28.430000000000007,81,99,8.18,MH,1724769271
360,liuduzhai,27.3661,110.935,23.840000000000032,95,89,2.45,CN,1724769272
361,luderitz,-26.6481,15.1594,16.55000000000001,69,0,8.89,NA,1724769273
362,wagar,16.1525,36.2032,27.650000000000034,64,98,3.06,SD,1724769274
363,naifaru,5.4444,73.3657,28.27000000000004,71,62,1.61,MV,1724769275
364,badger,64.8,-147.5333,8.53000000000003,85,75,3.09,US,1724769277
365,kiunga,-6.1219,141.2906,22.110000000000014,99,41,1.34,PG,1724769278
366,nogales,31.3086,-110.9422,26.25,64,0,2.06,MX,1724769248
367,okhotsk,59.3833,143.3,11.910000000000025,94,44,2.97,RU,1724769280
368,chabahar,25.2919,60.643,28.460000000000036,84,3,3.41,IR,1724769281
369,naze,28.3667,129.4833,25.510000000000048,93,100,19.44,JP,1724769217
370,santa cruz,-17.8,-63.1667,21.03000000000003,35,0,5.14,BO,1724769283
371,rudnichnyy,59.617,52.4703,21.160000000000025,75,43,2.31,RU,1724769284
372,minas de marcona,-15.2119,-75.1103,14.29000000000002,67,61,5.74,PE,1724769285
373,shambu,9.5667,37.1,13.450000000000045,92,85,1.08,ET,1724769286
374,puerto leguizamo,-0.1934,-74.7819,27.629999999999995,62,67,1.44,CO,1724769288
375,kilju,40.9642,129.3278,19.57000000000005,86,33,1.88,KP,1724769289
376,castillos,-34.1667,-53.8333,15.230000000000018,54,0,1.24,UY,1724769290
377,midvagur,62.0511,-7.1939,12.460000000000036,100,100,4.63,FO,1724769291
378,warrnambool,-38.3833,142.4833,12.930000000000007,90,100,9.1,AU,1724769292
379,haiku-pauwela,20.9219,-156.3051,21.600000000000023,85,20,3.09,US,1724769293
380,mana,5.6592,-53.7767,30.75,63,29,3.01,GF,1724769294
381,smithers,54.7804,-127.1743,8.180000000000007,87,75,1.54,CA,1724769296
382,wynyard,-41.0,145.7167,9.650000000000034,93,100,6.51,AU,1724769298
383,tukrah,32.5341,20.5791,29.77000000000004,61,1,4.54,LY,1724769299
384,sao jose da coroa grande,-8.8978,-35.1478,27.090000000000032,67,71,6.04,BR,1724769300
385,lethem,3.3803,-59.7968,24.760000000000048,87,100,0.35,GY,1724769301
386,salahonda,2.1019,-78.7217,26.03000000000003,83,12,0.66,CO,1724769302
387,papao,-17.75,-149.55,19.82000000000005,71,100,8.33,PF,1724769303
388,makhambet,47.6667,51.5833,27.689999999999998,24,0,6.36,KZ,1724769304
389,princeville,45.7668,-61.2985,23.120000000000005,73,0,3.09,CA,1724769305
390,douentza,14.9951,-2.9517,38.74000000000001,29,100,5.97,ML,1724769306
391,zag,46.9441,99.165,15.689999999999998,44,26,1.04,MN,1724769308
392,baniachang,24.5167,91.3667,27.29000000000002,86,79,2.77,BD,1724769309
393,luza,60.6308,47.2512,22.430000000000007,71,52,1.98,RU,1724769310
394,sagarejo,41.734,45.3315,27.58000000000004,43,0,2.6,GE,1724769311
395,gloucester,51.8657,-2.2431,24.03000000000003,54,20,4.63,GB,1724769312
396,manado,1.487,124.8455,25.430000000000007,94,20,1.03,ID,1724769313
397,simanggang,1.2472,111.4528,25.99000000000001,94,89,1.03,MY,1724769314
398,kobryn,52.2138,24.3564,28.810000000000002,43,60,5.87,BY,1724769315
399,santa ana,33.7456,-117.8678,20.5,89,75,1.54,US,1724769156
400,carnarvon,-24.8667,113.6333,19.57000000000005,70,0,6.86,AU,1724769317
401,holualoa,19.6228,-155.9522,20.910000000000025,83,0,2.57,US,1724769319
402,mugia,43.1041,-9.2179,20.510000000000048,72,3,3.66,ES,1724769320
403,luocheng,29.3848,104.0286,29.230000000000018,69,68,0.97,CN,1724769321
404,vila franca do campo,37.7167,-25.4333,26.230000000000018,59,1,5.25,PT,1724769322
405,gubkinskiy,64.434,76.5026,17.420000000000016,72,84,1.39,RU,1724769323
406,vila velha,-20.3297,-40.2925,20.970000000000027,75,75,6.17,BR,1724769042
407,sheregesh,52.9209,87.9869,11.379999999999995,94,100,1.56,RU,1724769325
408,motygino,58.1831,94.7592,12.640000000000043,99,99,1.9,RU,1724769326
409,eduardo castex,-35.915,-64.2945,15.840000000000032,38,7,4.08,AR,1724769327
410,conkal,21.0667,-89.5333,30.510000000000048,79,75,3.09,MX,1724769329
411,ouarzazat,30.9189,-6.8934,37.160000000000025,7,20,1.54,MA,1724769330
412,nabire,-3.3667,135.4833,24.760000000000048,93,100,1.32,ID,1724769331
413,satipo,-11.2522,-74.6386,27.939999999999998,52,79,1.07,PE,1724769332
414,bontang,0.1333,117.5,25.650000000000034,88,69,3.29,ID,1724769333
415,severo-yeniseyskiy,60.3725,93.0408,11.550000000000011,99,100,1.09,RU,1724769334
416,ribeira brava,32.65,-17.0667,27.29000000000002,64,4,2.13,PT,1724769335
417,gurupa,-1.405,-51.64,36.85000000000002,36,6,0.62,BR,1724769336
418,mudgee,-32.5943,149.5871,7.470000000000027,87,2,1.33,AU,1724769337
419,hailey,43.5196,-114.3153,7.920000000000016,61,0,6.17,US,1724769342
420,el porvenir,13.7617,-87.3458,29.33000000000004,61,79,0.63,HN,1724769201
421,yelizovo,53.1873,158.3805,12.080000000000041,76,75,2.0,RU,1724769344
422,bubaque,11.2833,-15.8333,27.32000000000005,82,64,6.2,GW,1724769345
423,cadale,2.7603,46.3222,26.450000000000045,81,31,6.85,SO,1724769346
424,cusseta,32.3054,-84.7727,29.700000000000045,75,54,2.52,US,1724769348
425,yuzhno-kurilsk,44.0306,145.8556,20.24000000000001,99,100,5.22,RU,1724769349
426,oranjemund,-28.55,16.4333,15.800000000000011,71,86,5.58,NA,1724769350
427,ceres,37.5949,-120.9577,20.590000000000032,39,0,2.02,US,1724769351
428,broome,42.2506,-75.833,24.090000000000032,81,0,2.57,US,1724769352
429,persembe,41.0656,37.7714,26.680000000000007,77,10,1.94,TR,1724769353
430,kasungu,-13.0333,33.4833,25.77000000000004,35,81,4.28,MW,1724769354
